time,x,y,z,abs,Action
16.3,0.244,-0.915,1.41,1.7,walking
16.3,0.107,-0.177,1.36,1.37,walking
16.3,-0.00748,0.402,1.18,1.25,walking
16.3,-0.0354,0.788,0.923,1.21,walking
16.3,-0.0277,1.01,0.621,1.18,walking
16.3,-0.0828,1.05,0.194,1.07,walking
16.3,-0.148,0.947,-0.248,0.99,walking
16.3,-0.27,0.746,-0.645,1.02,walking
16.3,-0.38,0.459,-0.917,1.09,walking
16.4,-0.498,0.169,-1.08,1.2,walking
16.4,-0.591,-0.115,-1.26,1.4,walking
16.4,-0.688,-0.402,-1.41,1.62,walking
16.4,-0.835,-0.654,-1.48,1.82,walking
16.4,-0.95,-0.884,-1.44,1.94,walking
16.4,-1.14,-1.11,-1.38,2.11,walking
16.4,-1.4,-1.44,-1.26,2.37,walking
16.4,-1.63,-1.72,-0.945,2.55,walking
16.4,-1.84,-1.87,-0.695,2.71,walking
16.4,-1.9,-2.14,-0.457,2.9,walking
16.5,-1.76,-2.37,-0.0523,2.95,walking
16.5,-1.49,-2.41,0.477,2.88,walking
16.5,-1.24,-2.44,1.02,2.92,walking
16.5,-1.08,-2.37,1.54,3.03,walking
16.5,-1.03,-2.24,2.07,3.22,walking
16.5,-1.08,-2.06,2.51,3.42,walking
16.5,-1.18,-1.85,2.81,3.57,walking
16.5,-1.33,-1.63,3.01,3.67,walking
16.5,-1.48,-1.43,3.04,3.67,walking
16.5,-1.58,-1.29,2.87,3.52,walking
16.6,-1.65,-1.18,2.45,3.18,walking
16.6,-1.72,-1.02,1.88,2.74,walking
16.6,-1.79,-0.792,1.21,2.3,walking
16.6,-1.68,-0.67,0.606,1.91,walking
16.6,-1.49,-0.53,0.0512,1.59,walking
16.6,-1.32,-0.331,-0.522,1.45,walking
16.6,-1.19,-0.142,-0.94,1.52,walking
16.6,-1.11,0.0973,-1.2,1.64,walking
16.6,-1.09,0.365,-1.38,1.8,walking
16.6,-1.12,0.613,-1.53,2.0,walking
16.7,-1.08,0.803,-1.59,2.08,walking
16.7,-1.04,0.955,-1.56,2.1,walking
16.7,-0.962,1.04,-1.46,2.03,walking
16.7,-0.866,1.05,-1.33,1.9,walking
16.7,-0.813,1.07,-1.13,1.76,walking
16.7,-0.705,1.06,-0.893,1.56,walking
16.7,-0.587,1.04,-0.644,1.36,walking
16.7,-0.457,0.995,-0.422,1.17,walking
16.7,-0.324,0.935,-0.288,1.03,walking
16.7,-0.169,0.907,-0.107,0.929,walking
16.8,-0.0497,0.878,0.0258,0.88,walking
16.8,0.101,0.813,0.0552,0.821,walking
16.8,0.276,0.676,0.0488,0.732,walking
16.8,0.437,0.455,0.0242,0.631,walking
16.8,0.576,0.225,-0.0683,0.622,walking
16.8,0.712,0.0135,-0.173,0.733,walking
16.8,0.844,-0.206,-0.252,0.905,walking
16.8,1.02,-0.493,-0.333,1.18,walking
16.8,1.25,-0.893,-0.362,1.58,walking
16.8,1.5,-1.41,-0.361,2.09,walking
16.9,1.74,-1.86,-0.244,2.56,walking
16.9,1.93,-2.07,-0.064,2.83,walking
16.9,1.97,-2.01,0.129,2.82,walking
16.9,1.85,-1.67,0.361,2.51,walking
16.9,1.62,-1.09,0.636,2.05,walking
16.9,1.37,-0.431,0.887,1.69,walking
16.9,1.21,0.228,1.06,1.63,walking
16.9,1.09,0.832,1.12,1.77,walking
16.9,0.946,1.29,1.06,1.92,walking
16.9,0.885,1.53,1.02,2.04,walking
17.0,0.892,1.6,1.01,2.09,walking
17.0,0.862,1.53,0.886,1.96,walking
17.0,0.777,1.34,0.682,1.7,walking
17.0,0.662,1.04,0.433,1.31,walking
17.0,0.61,0.549,0.253,0.859,walking
17.0,0.62,0.0193,0.15,0.638,walking
17.0,0.556,-0.411,0.0708,0.695,walking
17.0,0.499,-0.808,-0.0189,0.95,walking
17.0,0.397,-1.1,0.0166,1.17,walking
17.0,0.185,-1.23,0.18,1.25,walking
17.1,-0.0736,-1.25,0.369,1.31,walking
17.1,-0.301,-1.23,0.574,1.39,walking
17.1,-0.508,-1.19,0.865,1.56,walking
17.1,-0.686,-1.08,1.22,1.77,walking
17.1,-0.865,-0.906,1.53,1.98,walking
17.1,-0.958,-0.719,1.82,2.18,walking
17.1,-0.999,-0.551,2.05,2.35,walking
17.1,-1.07,-0.409,2.22,2.5,walking
17.1,-1.11,-0.275,2.32,2.59,walking
17.1,-1.11,-0.183,2.35,2.61,walking
17.2,-1.12,-0.13,2.29,2.55,walking
17.2,-1.14,-0.0844,2.16,2.44,walking
17.2,-1.25,-0.0186,1.92,2.29,walking
17.2,-1.34,-9.82e-05,1.64,2.12,walking
17.2,-1.36,-0.0685,1.37,1.93,walking
17.2,-1.36,-0.137,1.18,1.81,walking
17.2,-1.38,-0.205,1.03,1.73,walking
17.2,-1.36,-0.282,0.912,1.66,walking
17.2,-1.34,-0.328,0.81,1.6,walking
17.3,-1.31,-0.385,0.715,1.54,walking
17.3,-1.3,-0.418,0.637,1.5,walking
17.3,-1.29,-0.443,0.536,1.46,walking
17.3,-1.25,-0.495,0.48,1.43,walking
17.3,-1.2,-0.534,0.424,1.38,walking
17.3,-1.15,-0.556,0.36,1.33,walking
17.3,-1.09,-0.565,0.307,1.27,walking
17.3,-1.04,-0.543,0.262,1.2,walking
17.3,-0.978,-0.493,0.236,1.12,walking
17.3,-0.912,-0.47,0.146,1.04,walking
17.4,-0.808,-0.452,-0.00713,0.926,walking
17.4,-0.722,-0.338,-0.107,0.805,walking
17.4,-0.637,-0.253,-0.247,0.728,walking
17.4,-0.505,-0.258,-0.423,0.708,walking
17.4,-0.387,-0.256,-0.605,0.762,walking
17.4,-0.276,-0.3,-0.785,0.885,walking
17.4,-0.174,-0.375,-0.966,1.05,walking
17.4,-0.0979,-0.398,-1.12,1.19,walking
17.4,-0.0463,-0.393,-1.21,1.27,walking
17.4,-0.0308,-0.403,-1.29,1.35,walking
17.5,-0.0223,-0.443,-1.39,1.46,walking
17.5,-0.0177,-0.492,-1.35,1.44,walking
17.5,-0.0363,-0.509,-1.24,1.34,walking
17.5,-0.0794,-0.474,-1.06,1.17,walking
17.5,-0.0953,-0.425,-0.8,0.911,walking
17.5,-0.0993,-0.416,-0.478,0.641,walking
17.5,-0.0764,-0.447,-0.176,0.486,walking
17.5,-0.0431,-0.528,0.108,0.541,walking
17.5,-0.0468,-0.582,0.361,0.686,walking
17.5,-0.103,-0.608,0.562,0.835,walking
17.6,-0.193,-0.59,0.679,0.92,walking
17.6,-0.257,-0.526,0.811,1.0,walking
17.6,-0.328,-0.463,0.937,1.09,walking
17.6,-0.395,-0.447,1.05,1.21,walking
17.6,-0.435,-0.424,1.2,1.34,walking
17.6,-0.456,-0.443,1.38,1.52,walking
17.6,-0.422,-0.5,1.53,1.66,walking
17.6,-0.407,-0.54,1.67,1.8,walking
17.6,-0.415,-0.535,1.79,1.91,walking
17.6,-0.412,-0.582,1.82,1.96,walking
17.7,-0.374,-0.665,1.81,1.96,walking
17.7,-0.345,-0.736,1.73,1.91,walking
17.7,-0.343,-0.792,1.59,1.81,walking
17.7,-0.352,-0.812,1.48,1.72,walking
17.7,-0.34,-0.845,1.43,1.7,walking
17.7,-0.312,-0.881,1.44,1.72,walking
17.7,-0.273,-0.842,1.47,1.72,walking
17.7,-0.204,-0.816,1.46,1.68,walking
17.7,-0.0879,-0.785,1.47,1.67,walking
17.7,0.0227,-0.701,1.55,1.7,walking
17.8,0.0887,-0.56,1.59,1.68,walking
17.8,0.127,-0.395,1.58,1.63,walking
17.8,0.133,-0.2,1.51,1.53,walking
17.8,0.102,-0.0125,1.4,1.4,walking
17.8,0.0306,0.183,1.28,1.29,walking
17.8,-0.0416,0.345,1.15,1.2,walking
17.8,-0.108,0.452,1.04,1.14,walking
17.8,-0.169,0.501,0.907,1.05,walking
17.8,-0.182,0.475,0.774,0.926,walking
17.8,-0.173,0.425,0.641,0.789,walking
17.9,-0.179,0.437,0.513,0.697,walking
17.9,-0.174,0.459,0.397,0.632,walking
17.9,-0.159,0.462,0.241,0.545,walking
17.9,-0.131,0.416,0.0779,0.443,walking
17.9,-0.12,0.423,-0.0966,0.451,walking
17.9,-0.128,0.508,-0.272,0.591,walking
17.9,-0.117,0.627,-0.415,0.761,walking
17.9,-0.0635,0.774,-0.604,0.984,walking
17.9,0.0119,0.913,-0.805,1.22,walking
17.9,0.0878,1.08,-0.975,1.46,walking
18.0,0.199,1.23,-1.04,1.62,walking
18.0,0.347,1.37,-1.03,1.75,walking
18.0,0.53,1.46,-0.997,1.84,walking
18.0,0.769,1.5,-0.923,1.92,walking
18.0,0.988,1.51,-0.807,1.98,walking
18.0,1.19,1.51,-0.686,2.04,walking
18.0,1.41,1.49,-0.589,2.14,walking
18.0,1.64,1.43,-0.493,2.23,walking
18.0,1.88,1.36,-0.375,2.35,walking
18.0,2.13,1.29,-0.296,2.51,walking
18.1,2.35,1.24,-0.234,2.67,walking
18.1,2.53,1.2,-0.245,2.81,walking
18.1,2.68,1.23,-0.197,2.95,walking
18.1,2.81,1.29,-0.123,3.1,walking
18.1,2.96,1.36,-0.0662,3.26,walking
18.1,3.06,1.44,-0.0526,3.38,walking
18.1,3.16,1.5,-0.041,3.49,walking
18.1,3.25,1.52,-0.0593,3.59,walking
18.1,3.36,1.54,-0.0512,3.69,walking
18.1,3.47,1.55,-0.0313,3.8,walking
18.2,3.56,1.48,-0.0881,3.85,walking
18.2,3.65,1.37,-0.136,3.91,walking
18.2,3.75,1.24,-0.153,3.95,walking
18.2,3.83,0.986,-0.232,3.96,walking
18.2,3.91,0.695,-0.325,3.99,walking
18.2,3.96,0.429,-0.418,4.01,walking
18.2,3.96,0.267,-0.499,4.0,walking
18.2,3.93,0.223,-0.548,3.98,walking
18.2,3.89,0.247,-0.56,3.94,walking
18.2,3.81,0.373,-0.535,3.86,walking
18.3,3.67,0.618,-0.454,3.75,walking
18.3,3.5,0.929,-0.386,3.64,walking
18.3,3.38,1.21,-0.289,3.6,walking
18.3,3.26,1.38,-0.197,3.55,walking
18.3,3.16,1.44,-0.116,3.47,walking
18.3,3.06,1.38,-0.0333,3.36,walking
18.3,2.94,1.23,0.0636,3.18,walking
18.3,2.81,0.997,0.154,2.99,walking
18.3,2.66,0.707,0.202,2.76,walking
18.3,2.55,0.335,0.227,2.58,walking
18.4,2.42,0.0213,0.247,2.43,walking
18.4,2.2,-0.143,0.313,2.23,walking
18.4,1.93,-0.206,0.433,1.99,walking
18.4,1.65,-0.153,0.659,1.78,walking
18.4,1.32,-0.0421,0.906,1.6,walking
18.4,0.996,0.0792,1.12,1.5,walking
18.4,0.725,0.153,1.26,1.47,walking
18.4,0.468,0.135,1.36,1.45,walking
18.4,0.207,0.0195,1.38,1.4,walking
18.4,-0.00272,-0.176,1.33,1.34,walking
18.5,-0.242,-0.358,1.23,1.31,walking
18.5,-0.483,-0.455,1.11,1.3,walking
18.5,-0.737,-0.508,0.954,1.31,walking
18.5,-0.961,-0.545,0.777,1.35,walking
18.5,-1.15,-0.569,0.586,1.41,walking
18.5,-1.29,-0.56,0.49,1.49,walking
18.5,-1.39,-0.512,0.438,1.55,walking
18.5,-1.43,-0.517,0.506,1.6,walking
18.5,-1.42,-0.483,0.718,1.66,walking
18.5,-1.35,-0.374,0.996,1.72,walking
18.6,-1.22,-0.381,1.17,1.74,walking
18.6,-1.08,-0.359,1.28,1.71,walking
18.6,-0.992,-0.214,1.37,1.71,walking
18.6,-0.919,-0.13,1.39,1.67,walking
18.6,-0.827,-0.137,1.3,1.55,walking
18.6,-0.772,-0.0985,1.23,1.46,walking
18.6,-0.714,0.00583,1.09,1.3,walking
18.6,-0.661,0.088,0.929,1.14,walking
18.6,-0.619,0.125,0.832,1.04,walking
18.6,-0.531,0.126,0.739,0.919,walking
18.7,-0.456,0.139,0.708,0.853,walking
18.7,-0.422,0.151,0.801,0.918,walking
18.7,-0.383,0.144,0.987,1.07,walking
18.7,-0.329,0.122,1.19,1.24,walking
18.7,-0.26,0.0471,1.34,1.36,walking
18.7,-0.174,-0.0603,1.47,1.48,walking
18.7,-0.12,-0.159,1.58,1.6,walking
18.7,-0.0821,-0.275,1.67,1.7,walking
18.7,-0.0885,-0.357,1.73,1.77,walking
18.7,-0.149,-0.417,1.75,1.8,walking
18.8,-0.25,-0.454,1.71,1.79,walking
18.8,-0.382,-0.448,1.71,1.81,walking
18.8,-0.543,-0.42,1.63,1.77,walking
18.8,-0.702,-0.364,1.47,1.67,walking
18.8,-0.796,-0.302,1.36,1.61,walking
18.8,-0.873,-0.24,1.25,1.55,walking
18.8,-0.935,-0.19,1.13,1.48,walking
18.8,-0.944,-0.18,0.988,1.38,walking
18.8,-0.949,-0.169,0.845,1.28,walking
18.8,-0.921,-0.186,0.699,1.17,walking
18.9,-0.871,-0.236,0.555,1.06,walking
18.9,-0.828,-0.305,0.409,0.973,walking
18.9,-0.795,-0.391,0.295,0.933,walking
18.9,-0.758,-0.447,0.283,0.924,walking
18.9,-0.709,-0.455,0.28,0.888,walking
18.9,-0.669,-0.44,0.279,0.848,walking
18.9,-0.583,-0.43,0.311,0.788,walking
18.9,-0.503,-0.433,0.336,0.744,walking
18.9,-0.333,-0.561,0.389,0.76,walking
18.9,-0.0888,-0.838,0.491,0.976,walking
19.0,0.112,-1.14,0.56,1.28,walking
19.0,0.293,-1.41,0.627,1.57,walking
19.0,0.412,-1.62,0.685,1.81,walking
19.0,0.517,-1.78,0.794,2.02,walking
19.0,0.621,-1.9,0.933,2.2,walking
19.0,0.712,-1.96,1.01,2.31,walking
19.0,0.801,-1.87,1.07,2.3,walking
19.0,0.823,-1.64,1.13,2.16,walking
19.0,0.813,-1.3,1.15,1.92,walking
19.0,0.79,-0.879,1.15,1.65,walking
19.1,0.737,-0.414,1.1,1.39,walking
19.1,0.663,0.0379,0.98,1.18,walking
19.1,0.607,0.448,0.763,1.07,walking
19.1,0.541,0.836,0.502,1.12,walking
19.1,0.444,1.21,0.248,1.32,walking
19.1,0.373,1.53,0.0501,1.57,walking
19.1,0.295,1.85,-0.116,1.87,walking
19.1,0.187,2.14,-0.266,2.16,walking
19.1,0.0865,2.36,-0.381,2.39,walking
19.1,0.0302,2.47,-0.5,2.52,walking
19.2,0.0375,2.43,-0.604,2.51,walking
19.2,0.135,2.24,-0.681,2.34,walking
19.2,0.261,1.91,-0.786,2.08,walking
19.2,0.391,1.47,-0.897,1.77,walking
19.2,0.539,0.954,-0.905,1.42,walking
19.2,0.745,0.388,-0.843,1.19,walking
19.2,0.966,-0.189,-0.725,1.22,walking
19.2,1.22,-0.646,-0.483,1.46,walking
19.2,1.37,-0.914,-0.197,1.65,walking
19.2,1.34,-1.02,0.143,1.69,walking
19.3,1.31,-1.02,0.471,1.73,walking
19.3,1.26,-0.905,0.863,1.78,walking
19.3,1.2,-0.665,1.3,1.89,walking
19.3,1.17,-0.389,1.69,2.09,walking
19.3,1.12,-0.0941,1.98,2.28,walking
19.3,1.05,0.16,2.22,2.46,walking
19.3,0.978,0.34,2.34,2.56,walking
19.3,0.93,0.467,2.3,2.52,walking
19.3,0.838,0.579,2.19,2.42,walking
19.3,0.684,0.696,1.92,2.15,walking
19.4,0.476,0.735,1.42,1.67,walking
19.4,0.336,0.623,0.994,1.22,walking
19.4,0.214,0.576,0.704,0.934,walking
19.4,0.0681,0.576,0.396,0.702,walking
19.4,-0.0447,0.528,0.146,0.55,walking
19.4,-0.158,0.499,-0.00258,0.523,walking
19.4,-0.264,0.522,-0.144,0.602,walking
19.4,-0.361,0.578,-0.279,0.736,walking
19.4,-0.421,0.631,-0.317,0.822,walking
19.4,-0.436,0.681,-0.268,0.851,walking
19.5,-0.412,0.7,-0.222,0.842,walking
19.5,-0.377,0.744,-0.0943,0.84,walking
19.5,-0.279,0.798,0.0897,0.85,walking
19.5,-0.196,0.846,0.264,0.907,walking
19.5,-0.166,0.957,0.394,1.05,walking
19.5,-0.173,1.04,0.477,1.16,walking
19.5,-0.182,1.12,0.501,1.24,walking
19.5,-0.203,1.19,0.502,1.31,walking
19.5,-0.203,1.22,0.477,1.33,walking
19.5,-0.172,1.19,0.426,1.28,walking
19.6,-0.15,1.12,0.399,1.2,walking
19.6,-0.0726,0.999,0.365,1.07,walking
19.6,-0.00592,0.84,0.384,0.924,walking
19.6,0.071,0.663,0.438,0.798,walking
19.6,0.159,0.51,0.502,0.733,walking
19.6,0.251,0.342,0.546,0.692,walking
19.6,0.312,0.209,0.622,0.727,walking
19.6,0.363,0.127,0.703,0.801,walking
19.6,0.388,0.0989,0.79,0.885,walking
19.6,0.399,0.125,0.872,0.967,walking
19.7,0.387,0.148,0.892,0.983,walking
19.7,0.329,0.211,0.941,1.02,walking
19.7,0.282,0.309,0.981,1.07,walking
19.7,0.271,0.343,1.02,1.11,walking
19.7,0.362,0.175,1.04,1.11,walking
19.7,0.545,-0.228,0.978,1.14,walking
19.7,0.734,-0.744,0.855,1.35,walking
19.7,0.939,-1.28,0.654,1.71,walking
19.7,1.14,-1.81,0.512,2.2,walking
19.7,1.29,-2.17,0.514,2.58,walking
19.8,1.39,-2.27,0.605,2.73,walking
19.8,1.44,-2.19,0.674,2.71,walking
19.8,1.4,-1.9,0.76,2.48,walking
19.8,1.31,-1.42,0.885,2.13,walking
19.8,1.18,-0.842,0.928,1.72,walking
19.8,1.0,-0.21,0.827,1.32,walking
19.8,0.827,0.346,0.66,1.11,walking
19.8,0.616,0.839,0.483,1.15,walking
19.8,0.44,1.19,0.305,1.31,walking
19.8,0.3,1.35,0.0713,1.39,walking
19.9,0.183,1.35,-0.161,1.37,walking
19.9,0.0987,1.19,-0.332,1.24,walking
19.9,0.0234,0.927,-0.443,1.03,walking
19.9,-0.00449,0.568,-0.441,0.719,walking
19.9,0.0666,0.171,-0.35,0.395,walking
19.9,0.211,-0.0715,-0.298,0.372,walking
19.9,0.474,-0.225,-0.0925,0.533,walking
19.9,0.854,-0.434,0.287,1.0,walking
19.9,1.11,-0.543,0.776,1.46,walking
19.9,1.33,-0.77,1.34,2.04,walking
20.0,1.52,-1.02,2.07,2.76,walking
20.0,1.6,-1.03,2.87,3.45,walking
20.0,1.59,-0.87,3.46,3.91,walking
20.0,1.51,-0.671,3.79,4.13,walking
20.0,1.39,-0.529,3.88,4.16,walking
20.0,1.27,-0.409,3.67,3.9,walking
20.0,1.09,-0.255,3.28,3.47,walking
20.0,0.904,-0.104,2.77,2.91,walking
20.0,0.687,0.0684,2.14,2.24,walking
20.0,0.465,0.312,1.58,1.68,walking
20.1,0.186,0.566,1.17,1.31,walking
20.1,-0.0466,0.815,0.825,1.16,walking
20.1,-0.259,1.04,0.529,1.2,walking
20.1,-0.425,1.19,0.296,1.3,walking
20.1,-0.569,1.26,0.193,1.39,walking
20.1,-0.721,1.27,0.192,1.47,walking
20.1,-0.855,1.25,0.257,1.54,walking
20.1,-0.98,1.17,0.368,1.57,walking
20.1,-1.11,1.03,0.523,1.6,walking
20.1,-1.19,0.859,0.69,1.62,walking
20.2,-1.25,0.72,0.825,1.66,walking
20.2,-1.34,0.586,0.879,1.7,walking
20.2,-1.44,0.439,0.909,1.76,walking
20.2,-1.48,0.252,0.908,1.75,walking
20.2,-1.52,0.0939,1.01,1.83,walking
20.2,-1.6,-0.0462,1.1,1.94,walking
20.2,-1.72,-0.17,1.17,2.09,walking
20.2,-1.8,-0.266,1.29,2.23,walking
20.2,-1.85,-0.311,1.43,2.36,walking
20.2,-1.89,-0.316,1.56,2.47,walking
20.3,-1.89,-0.356,1.69,2.56,walking
20.3,-1.85,-0.461,1.81,2.63,walking
20.3,-1.75,-0.651,1.84,2.62,walking
20.3,-1.61,-0.887,1.8,2.57,walking
20.3,-1.47,-1.11,1.68,2.49,walking
20.3,-1.4,-1.31,1.47,2.42,walking
20.3,-1.31,-1.47,1.26,2.34,walking
20.3,-1.29,-1.53,1.08,2.28,walking
20.3,-1.3,-1.49,0.933,2.19,walking
20.3,-1.27,-1.41,0.838,2.08,walking
20.4,-1.19,-1.39,0.808,2.0,walking
20.4,-1.07,-1.47,0.796,1.98,walking
20.4,-0.87,-1.71,0.749,2.06,walking
20.4,-0.661,-2.06,0.678,2.27,walking
20.4,-0.538,-2.5,0.543,2.61,walking
20.4,-0.479,-2.88,0.454,2.96,walking
20.4,-0.454,-3.1,0.427,3.16,walking
20.4,-0.514,-3.11,0.406,3.18,walking
20.4,-0.659,-2.92,0.453,3.03,walking
20.4,-0.736,-2.65,0.549,2.8,walking
20.5,-0.895,-2.31,0.62,2.56,walking
20.5,-1.04,-1.84,0.65,2.21,walking
20.5,-1.02,-1.31,0.676,1.79,walking
20.5,-0.976,-0.821,0.646,1.43,walking
20.5,-0.926,-0.431,0.568,1.17,walking
20.5,-0.833,-0.047,0.442,0.944,walking
20.5,-0.712,0.299,0.254,0.813,walking
20.5,-0.59,0.606,-0.0196,0.846,walking
20.5,-0.483,0.849,-0.256,1.01,walking
20.5,-0.396,1.04,-0.495,1.22,walking
20.6,-0.302,1.21,-0.729,1.45,walking
20.6,-0.189,1.27,-0.927,1.59,walking
20.6,-0.0387,1.18,-1.11,1.62,walking
20.6,0.142,0.972,-1.29,1.62,walking
20.6,0.348,0.653,-1.43,1.61,walking
20.6,0.557,0.316,-1.47,1.6,walking
20.6,0.75,-0.0531,-1.43,1.61,walking
20.6,0.995,-0.526,-1.27,1.7,walking
20.6,1.23,-0.92,-0.974,1.82,walking
20.6,1.33,-1.12,-0.646,1.86,walking
20.7,1.26,-1.22,-0.411,1.81,walking
20.7,1.17,-1.37,-0.129,1.81,walking
20.7,1.04,-1.34,0.21,1.71,walking
20.7,0.871,-1.18,0.51,1.55,walking
20.7,0.713,-1.02,0.804,1.48,walking
20.7,0.537,-0.824,1.07,1.45,walking
20.7,0.326,-0.564,1.35,1.5,walking
20.7,0.124,-0.317,1.54,1.57,walking
20.7,-0.0605,-0.0875,1.6,1.6,walking
20.7,-0.193,0.131,1.57,1.59,walking
20.8,-0.331,0.35,1.39,1.47,walking
20.8,-0.44,0.496,1.05,1.24,walking
20.8,-0.496,0.576,0.704,1.04,walking
20.8,-0.569,0.695,0.394,0.981,walking
20.8,-0.657,0.833,0.0855,1.06,walking
20.8,-0.734,0.889,-0.224,1.17,walking
20.8,-0.797,0.907,-0.488,1.3,walking
20.8,-0.801,0.926,-0.678,1.4,walking
20.8,-0.773,0.928,-0.848,1.48,walking
20.8,-0.707,0.917,-1.01,1.54,walking
20.9,-0.639,0.904,-1.12,1.57,walking
20.9,-0.564,0.912,-1.16,1.58,walking
20.9,-0.457,0.933,-1.11,1.52,walking
20.9,-0.345,0.945,-0.999,1.42,walking
20.9,-0.203,0.942,-0.835,1.27,walking
20.9,-0.0675,0.98,-0.61,1.16,walking
20.9,0.0121,1.04,-0.432,1.12,walking
20.9,0.0644,1.09,-0.291,1.13,walking
20.9,0.0863,1.17,-0.141,1.18,walking
20.9,0.108,1.17,-0.0212,1.17,walking
21.0,0.158,1.12,0.0812,1.14,walking
21.0,0.203,1.04,0.175,1.08,walking
21.0,0.231,0.912,0.259,0.976,walking
21.0,0.266,0.777,0.294,0.872,walking
21.0,0.31,0.694,0.295,0.815,walking
21.0,0.364,0.604,0.229,0.741,walking
21.0,0.417,0.55,0.15,0.707,walking
21.0,0.462,0.552,0.0634,0.723,walking
21.0,0.503,0.629,-0.0364,0.807,walking
21.0,0.563,0.778,-0.0858,0.964,walking
21.1,0.652,0.937,-0.151,1.15,walking
21.1,0.745,1.05,-0.304,1.33,walking
21.1,0.862,1.13,-0.448,1.49,walking
21.1,1.03,1.09,-0.572,1.61,walking
21.1,1.27,0.852,-0.702,1.69,walking
21.1,1.59,0.37,-0.822,1.83,walking
21.1,1.92,-0.264,-0.924,2.15,walking
21.1,2.23,-0.877,-0.994,2.59,walking
21.1,2.54,-1.33,-0.956,3.02,walking
21.1,2.87,-1.68,-0.847,3.43,walking
21.2,3.16,-1.98,-0.66,3.78,walking
21.2,3.34,-2.02,-0.43,3.93,walking
21.2,3.39,-1.66,-0.188,3.78,walking
21.2,3.3,-1.01,0.0364,3.45,walking
21.2,3.22,-0.397,0.212,3.25,walking
21.2,3.17,0.197,0.368,3.2,walking
21.2,3.07,0.743,0.496,3.19,walking
21.2,2.95,1.2,0.619,3.24,walking
21.2,2.76,1.58,0.683,3.26,walking
21.2,2.55,1.83,0.732,3.22,walking
21.3,2.3,1.86,0.792,3.06,walking
21.3,2.03,1.64,0.798,2.73,walking
21.3,1.68,1.21,0.751,2.2,walking
21.3,1.32,0.573,0.567,1.54,walking
21.3,1.11,-0.217,0.415,1.2,walking
21.3,0.799,-0.862,0.425,1.25,walking
21.3,0.476,-1.38,0.413,1.51,walking
21.3,0.139,-1.8,0.359,1.84,walking
21.3,-0.271,-2.08,0.36,2.12,walking
21.3,-0.686,-2.15,0.343,2.28,walking
21.4,-1.02,-2.07,0.318,2.33,walking
21.4,-1.31,-1.84,0.377,2.29,walking
21.4,-1.48,-1.54,0.534,2.2,walking
21.4,-1.5,-1.28,0.678,2.08,walking
21.4,-1.32,-1.12,0.888,1.95,walking
21.4,-1.14,-0.867,1.09,1.8,walking
21.4,-1.1,-0.516,1.08,1.63,walking
21.4,-0.986,-0.293,1.04,1.46,walking
21.4,-0.889,-0.0771,0.939,1.3,walking
21.4,-0.85,0.175,0.721,1.13,walking
21.5,-0.816,0.391,0.541,1.05,walking
21.5,-0.819,0.586,0.485,1.12,walking
21.5,-0.864,0.782,0.387,1.23,walking
21.5,-0.914,0.935,0.204,1.32,walking
21.5,-0.953,1.05,0.101,1.42,walking
21.5,-0.981,1.09,0.154,1.47,walking
21.5,-1.02,1.08,0.193,1.49,walking
21.5,-1.02,0.958,0.285,1.43,walking
21.5,-1.06,0.807,0.468,1.41,walking
21.5,-1.13,0.675,0.653,1.47,walking
21.6,-1.19,0.497,0.802,1.52,walking
21.6,-1.26,0.32,0.956,1.62,walking
21.6,-1.37,0.219,1.15,1.8,walking
21.6,-1.51,0.172,1.34,2.02,walking
21.6,-1.64,0.14,1.49,2.22,walking
21.6,-1.74,0.0908,1.6,2.37,walking
21.6,-1.82,-0.00549,1.63,2.44,walking
21.6,-1.86,-0.13,1.64,2.49,walking
21.6,-1.85,-0.296,1.62,2.48,walking
21.6,-1.8,-0.521,1.57,2.44,walking
21.7,-1.72,-0.697,1.52,2.39,walking
21.7,-1.65,-0.836,1.44,2.34,walking
21.7,-1.56,-0.953,1.35,2.27,walking
21.7,-1.46,-1.04,1.23,2.17,walking
21.7,-1.36,-1.07,1.14,2.08,walking
21.7,-1.25,-1.07,1.06,1.96,walking
21.7,-1.18,-1.01,0.978,1.84,walking
21.7,-1.15,-0.899,0.915,1.72,walking
21.7,-1.1,-0.755,0.87,1.6,walking
21.7,-1.1,-0.607,0.788,1.48,walking
21.8,-1.12,-0.404,0.73,1.39,walking
21.8,-1.14,-0.214,0.68,1.34,walking
21.8,-1.11,-0.11,0.616,1.27,walking
21.8,-1.03,-0.0758,0.474,1.14,walking
21.8,-0.897,-0.0993,0.341,0.965,walking
21.8,-0.729,-0.216,0.204,0.787,walking
21.8,-0.47,-0.514,0.114,0.706,walking
21.8,-0.132,-1.11,0.0404,1.12,walking
21.8,0.244,-1.87,-0.0555,1.89,walking
21.8,0.529,-2.47,-0.113,2.53,walking
21.9,0.788,-2.76,-0.0496,2.87,walking
21.9,1.09,-3.01,0.179,3.2,walking
21.9,1.39,-3.34,0.382,3.64,walking
21.9,1.6,-3.44,0.591,3.84,walking
21.9,1.59,-3.0,0.771,3.48,walking
21.9,1.46,-2.11,0.921,2.72,walking
21.9,1.25,-1.01,0.982,1.89,walking
21.9,1.11,0.0635,0.894,1.43,walking
21.9,0.97,0.992,0.737,1.57,walking
21.9,0.84,1.65,0.505,1.92,walking
