time,x,y,z,abs,Action
1.22,1.09,-0.568,-0.248,1.26,
1.23,1.06,-0.435,-0.214,1.17,
1.24,0.993,-0.274,-0.342,1.09,
1.25,0.923,-0.16,-0.406,1.02,
1.26,0.792,-0.113,-0.403,0.895,
1.27,0.648,-0.0765,-0.359,0.745,
1.28,0.513,0.0257,-0.32,0.605,
1.29,0.36,0.126,-0.345,0.515,
1.3,0.21,0.241,-0.432,0.538,
1.31,0.0472,0.355,-0.527,0.637,
1.32,-0.0988,0.433,-0.535,0.695,
1.33,-0.233,0.499,-0.537,0.769,
1.34,-0.224,0.542,-0.425,0.724,
1.35,-0.101,0.556,-0.225,0.608,
1.36,0.0549,0.527,-0.0292,0.531,
1.37,0.204,0.453,0.108,0.509,
1.38,0.337,0.342,0.153,0.504,
1.39,0.511,0.176,0.164,0.565,
1.4,0.652,0.0219,0.204,0.684,
1.41,0.712,-0.0459,0.196,0.74,
1.42,0.728,-0.00603,0.156,0.745,
1.43,0.64,0.125,0.168,0.673,
1.44,0.465,0.256,0.179,0.561,
1.45,0.312,0.302,0.143,0.458,
1.46,0.223,0.249,0.152,0.367,
1.47,0.191,0.0792,0.161,0.262,
1.48,0.135,-0.167,0.141,0.257,
1.49,0.0797,-0.445,0.0914,0.462,
1.5,-0.00697,-0.689,0.0462,0.69,
1.51,-0.0908,-0.875,0.0665,0.883,
1.52,-0.139,-1.02,0.000761,1.03,
1.53,-0.21,-1.08,-0.0567,1.1,
1.54,-0.275,-1.04,-0.118,1.08,
1.55,-0.299,-0.965,-0.206,1.03,
1.56,-0.373,-0.791,-0.287,0.92,
1.57,-0.507,-0.529,-0.366,0.82,
1.58,-0.661,-0.247,-0.454,0.839,
1.59,-0.753,0.0115,-0.482,0.894,
1.6,-0.797,0.25,-0.508,0.978,
1.61,-0.833,0.436,-0.543,1.09,
1.62,-0.843,0.573,-0.595,1.18,
1.63,-0.786,0.716,-0.59,1.22,
1.64,-0.65,0.802,-0.553,1.17,
1.65,-0.483,0.821,-0.514,1.08,
1.66,-0.303,0.767,-0.514,0.972,
1.67,-0.102,0.711,-0.509,0.881,
1.68,0.078,0.659,-0.511,0.838,
1.69,0.245,0.616,-0.521,0.843,
1.7,0.433,0.578,-0.523,0.891,
1.71,0.602,0.543,-0.615,1.02,
1.72,0.747,0.531,-0.714,1.16,
1.73,0.814,0.571,-0.769,1.26,
1.74,0.814,0.69,-0.775,1.32,
1.75,0.746,0.846,-0.781,1.37,
1.76,0.632,1.03,-0.763,1.43,
1.77,0.496,1.21,-0.742,1.5,
1.78,0.375,1.38,-0.696,1.59,
1.79,0.275,1.53,-0.576,1.66,
1.8,0.167,1.68,-0.424,1.74,
1.81,0.113,1.71,-0.312,1.74,
1.82,0.0781,1.66,-0.251,1.68,
1.83,0.0812,1.49,-0.2,1.5,
1.84,0.152,1.23,-0.126,1.25,
1.85,0.246,0.948,-0.102,0.985,
1.86,0.355,0.709,-0.128,0.803,
1.87,0.515,0.516,-0.102,0.736,
1.88,0.692,0.392,-0.104,0.802,
1.89,0.812,0.372,-0.152,0.906,
1.9,0.885,0.443,-0.164,1.0,
1.91,0.898,0.541,-0.185,1.06,
1.92,0.897,0.651,-0.143,1.12,
1.93,0.896,0.766,-0.0871,1.18,
